sentence,label,deepseek,openai,finbert,NLTK,finma-7b-nlp
"The CPI in May was -0.1% month-on-month, which was higher than the -0.2% average for the same month in the past 10 years (2014 to 2023). At the same time, the core CPI in May was -0.2% month-on-month, which was lower than the +0.1% average for the same month over the past 10 years. , 5 shows that after excluding food and energy, the CPI in May was weaker than seasonally. Combined with the fact that the month-on-month fuel consumption for transportation in May was lower than the average of the same month in the past 10 years, while the month-on-month food CPI was significantly higher than the average of the past 10 years, it can be found that the core support for the month-on-month CPI to surpass the seasonality in May is the rapid recovery of food prices. The CPI in May recorded +0.3% year-on-year, which was the same as April and slightly lower than market expectations of +0.38%. The core CPI in May was +0.6% year-on-year, -0.1 PCTS compared with the previous month. While core CPI fell year-on-year, CPI rose at the same time, mainly because the decline in food CPI in May narrowed significantly.",neutral,neutral,Neutral,negative,negative,0.2
"While the month-on-month and year-on-year core CPI are not strong, the year-on-year rebound in key commodity prices in May, especially pork prices, played an important supporting role in the month-on-month and year-on-year CPI. Looking forward, it is expected that the subsequent CPI will continue to rise year-on-year, but the upward rate is expected to be slower: first, the recovery rate of core CPI mainly depends on the recovery speed of my country’s domestic demand; second, the subsequent upward trend of pig prices is expected to have an impact on CPI It forms a strong upward pulling effect on a year-on-year basis; thirdly, the decline in CPI tail factors in the third quarter of this year may have a certain suppressive effect on CPI year-on-year, but the tail factors in the fourth quarter will rise and the suppressive effect will be reduced.",neutral,neutral,Neutral,negative,negative, positive
"From the perspective of industrial sub-sectors, industries with ex-factory prices rising month-on-month in May are mainly concentrated in the upstream non-ferrous mining and processing, fossil fuel processing, ferrous metal smelting and processing industries, etc. Among them, non-ferrous metals are generally priced in the international market, and their strong price performance is mainly due to the recent rise in international non-ferrous metal prices. The ex-factory price of the ferrous metal processing industry fell for three consecutive months from February to April, and bottomed out in May. The price increase in the fossil fuel processing industry on a month-on-month basis is mainly due to the fact that China has entered the peak transportation season.",neutral,neutral,Neutral,negative,positive,2 neutral
"May PMI data shows that the current recovery speed of industrial production is ahead of industrial demand, and the price recovery of the upstream raw material industry in May was ahead of the downstream manufacturing industry, further confirming this trend. Since the end of last year, the inventory of industrial finished products has continued to rise year-on-year. Combined with the current domestic policies that continue to promote the recovery of domestic demand and the high probability of international liquidity loosening, it is conducive to boosting global demand. This round of inventory cycle is expected to continue to rise, thereby driving industrial products The upward price trend continues. Considering that the PPI tailing factor in the second half of this year has generally increased compared with the first half of the year, it is expected that in the second half of the year, the PPI will continue to gradually narrow its decline compared with the same period last year.",neutral,positive,Positive,positive,positive, positive
"In order to further improve the normalized dividend distribution mechanism of listed companies and improve the level of investor returns, the China Securities Regulatory Commission, based on regulatory practices, has issued the """"Regulatory Guidelines for Listed Companies No. 3 - Cash Dividends by Listed Companies"""" (hereinafter referred to as the """"Cash Dividend Guidelines""""), and The """"Guidelines on the Articles of Association of Listed Companies"""" (hereinafter referred to as the """"Guidelines on the Articles of Association"""") have revised the relevant provisions on cash dividends and are now soliciting opinions from the public. Continuous and stable dividends help enhance investor returns, promote the establishment of a peaceful investment philosophy, and promote the stable and healthy development of the market. It also helps reduce the company\'s redundant funds, improve the efficiency of asset use, and guide the company to focus on its main business. Since the promulgation and implementation of the current """"Cash Dividend Guidelines"""" and """"Articles of Association Guidelines"""", they have played an important role in improving the internal governance mechanism and external regulatory constraints on dividends, and the dividend situation of A-share listed companies has continued to improve. In the past five years, A-share listed companies have paid a cumulative dividend of 8.2 trillion yuan, and the annual dividend amount has begun to exceed the equity financing amount of the year. Among them, a total of 3,291 Shanghai and Shenzhen listed companies paid cash dividends in 2022, with a dividend amount of 2.1 trillion yuan, of which 1.6 trillion yuan was distributed to domestic investors, a year-on-year increase of 22.7%, and the number of dividend payers accounted for 67.1%. The dividend payout rate (32.5%) and dividend rate (1.97%) are in the middle and upper reaches compared with major global capital markets. First, the scale of dividends has grown rapidly. The average annual growth rate of dividends over the past ten years has been 13.3%, which is higher than the growth rate of net profit in the same period (about 10%). Second, the habit of paying dividends has gradually developed. The proportion of companies paying dividends has increased from about 50% ten years ago to about 70%. The proportion of companies paying dividends for five consecutive years has increased from 20% to 48%. Third, the dividend characteristics are generally consistent with the development stage of the company, and the dividend levels of companies in different sectors and industries vary. However, compared with mature overseas markets, the balance, timeliness, and stability of dividends need to be further improved, and investors\' sense of gain needs to be enhanced. There are also some companies that pay abnormally high proportions of dividends, which may damage their solvency and ability to continue operating. It needs to be promptly Guide regulations The main idea of \u200b\u200bthis revision of cash dividend rules is to encourage companies to formulate clear dividend policies in their articles of association on the basis of adhering to corporate autonomy, and to stabilize investors\' dividend expectations. For companies that do not pay dividends and have large financial investments but low dividend ratios , urge dividends by strengthening disclosure requirements; facilitate the company\'s mid-term dividend implementation procedures, encourage companies to increase the frequency of cash dividends; strengthen the constraints on companies with abnormally high proportions of dividends, and guide reasonable dividends The revision of the """"Cash Dividend Guidelines"""" mainly includes three aspects: First, it further clarifies the orientation of encouraging cash dividends and promotes an increase in the level of dividends. Strengthen disclosure requirements and other institutional constraints on companies that do not pay dividends and urge them to pay dividends Pay special attention to companies with large financial investments but low dividend levels, urge them to increase their dividend levels, and focus on their main business The second is to simplify the mid-term dividend distribution process and promote further optimization of the dividend method and rhythm. Encourage companies to increase the frequency of dividends when conditions permit. In combination with regulatory practices, listed companies are allowed to review and approve the conditions and upper limits for mid-term cash dividends for the next year within a certain amount when convening annual shareholders\' meetings to review annual profit distribution plans, so as to facilitate companies to further Increase the frequency of dividends, allowing investors to better plan capital arrangements and share corporate growth dividends earlier The third is to strengthen the constraints on companies that pay abnormally high proportions of dividends and guide reasonable dividend distribution It is emphasized that when listed companies formulate cash dividend policies, they should comprehensively consider their own profitability, capital expenditure arrangements and debt repayment capabilities, as well as investor returns and company development. Pay close attention to companies with high asset-liability ratios, poor cash flows from operating activities, and large proportions of cash dividends to prevent adverse effects on the company\'s production, operations, and debt repayment capabilities. The relevant provisions of the """"Guidelines for the Articles of Association of Listed Companies"""" have been revised in three main aspects: First, listed companies are encouraged to increase the frequency of cash dividends under the conditions of profit distribution, guide the formation of mid-term dividend distribution habits, and stabilize investors\' dividend expectations Second, in accordance with the institutional arrangements for optimizing the implementation procedures for interim cash dividends in the """"Cash Dividend Guidelines"""", new requirements for the completion time limit for interim dividends have been added. The third is to urge companies to refine dividend policies in their articles of association, clarify the goals of cash dividends, and better stabilize investor expectations. At the same time, companies should be guided to formulate dividend restriction clauses in their articles of association to prevent companies from enlarging the risk of dividends when profits are unreal and debts are too high. The Shanghai and Shenzhen stock exchanges will simultaneously revise and improve the standardized operation guidelines for listed companies and clarify operational requirements. In the next step, the China Securities Regulatory Commission will further improve the """"Cash Dividend Guidelines"""" and """"Articles of Association Guidelines"""" based on the public solicitation of opinions, and issue and implement them as soon as possible",positive,Positive,Positive,positive,positive, positive
Peaceful perspective:,neutral,neutral,Neutral,neutral,positive, positive
"A brief review of U.S. third quarter GDP data. In the third quarter of 2023, the US GDP annualized rate was 4.9%, which was significantly higher than the previous value of 2.1%, better than the expected 4.5%, and lower than the 5.4% predicted by GDPNow. From the perspective of month-on-month growth: 1) Personal consumption is the largest contributor (2.69 percentage points). Spending on services grew strongly (1.62 percentage points), led by rent and health care spending. 2) Private investment is a secondary contribution (1.47 percentage points), of which changes in private inventories drove 1.32 percentage points month-on-month, and residential investment achieved positive growth for the first time since the second quarter of 2021, driving 0.15 percentage points month-on-month. 3) Government expenditure contributed 0.79 percentage points, and the contribution of defense expenditure increased significantly. After the GDP data was released, the market reaction was slightly negative due to geopolitical drag, with the three major U.S. stock indexes falling and the 10-year U.S. bond interest rate falling. Looking forward to the fourth quarter, we predict that the U.S. economy may still maintain positive growth of about 1%, and then the full-year growth may reach more than 2.5%, basically the same as before the epidemic. Looking forward, if personal consumption data remains strong, geopolitical conflicts in the Middle East expand, and the job market continues to be tight, the Fed may still choose to tighten further. Against this background, U.S. bond interest rates and the U.S. dollar index may still be in the process of peaking, and the risk of U.S. stock market fluctuations remains high.",neutral,neutral,Neutral,negative,positive,4.9
"Overseas economic policies: 1) U.S. durable goods orders in September rose 4.7% more than expected month-on-month, and capital goods and transportation equipment orders showed strong month-on-month growth. 2) The year-on-year growth rate of the U.S. PCE price index in September fell back to 3.4% as expected, and the core PCE growth rate fell back to 3.7% year-on-year. 3) The U.S. manufacturing PMI in October fell below the boom-bust line, and the service PMI rebounded beyond expectations. 4) The final value of the University of Michigan Consumer Confidence Index in the United States in October was revised upward, but the weakening trend has not changed; the one-year inflation expectation was revised upward to 4.2%. 5) The latest number of people filing for unemployment benefits in the United States rebounded to 210,000. 6) The European Central Bank announced a suspension of interest rate increases. 7) Both the manufacturing and service PMIs of the Eurozone weakened in October. 8) The UK service industry PMI continued to weaken in October, remaining below the boom-bust line for the third consecutive month.",neutral,neutral,Neutral,negative,positive,8 neutral
"Risk warning: U.S. financial risks have risen more than expected, the U.S. economy has declined more than expected, and the Federal Reserve has cut interest rates earlier than expected, etc.",negative,negative,Negative,negative,negative, negative
Core view: The year-on-year decline in profits of industrial companies continued to narrow from January to November,positive,neutral,Neutral,negative,positive, negative
