sentence,label,deepseek,openai,finbert,NLTK,finma-7b-nlp
"PPI in May was -1.4% year-on-year, +1.1 PCTS compared with April, PPIRM was -1.7% year-on-year, +1.3 PCTS compared with April, PPI in May was +0.2% month-on-month, +0.4 PCTS compared with April, PPIRM ring E +0.3%, car comparison +0.6 PCTS in April. It is worth noting that both PPI month-on-month and PPIRM month-on-month have turned positive for the first time since October 2023, which is a relatively positive signal for the recovery of industrial production and demand.",positive,positive,Positive,positive,positive, positive
"Major global asset classes: 1) Stock markets: U.S., European, and Japanese stock markets are generally under pressure. In terms of U.S. stocks, the Nasdaq Composite Index, S&P 500 Index and Dow Jones Industrial Index fell 2.6%, 2.5% and 2.1% respectively for the whole week. 2) Bond market: Mid- and long-term U.S. bond interest rates have fallen from highs, with the 10-year U.S. bond interest rate once again rising above 5%, falling 9 BP to 4.84% throughout the week. 3) Commodities: Except for non-ferrous metals, most commodity prices fell, with oil prices falling and gold prices stabilizing at the US$1,980/ounce mark. 4) Foreign exchange: The U.S. dollar index rose 0.4% throughout the week, closing at 106.58; the Japanese yen appreciated, but once fell below the 150 mark; European currency exchange rates were weak.",negative,negative,Negative,negative,negative,2.1
"Real estate has long been China\'s most important credit accelerator. After the long-term turning point in the real estate industry, the endogenous financing demand of the real sector is insufficient, and new focus points for credit expansion need to be found. The proposal of the """"Five Big Articles"""" further clarified the five key focuses of the financial industry in the process of optimizing the economic structure in the future. As the first of the """"Five Big Articles"""", the proposal of science and technology finance also gives financial services technology a new historical mission.",positive,neutral,Neutral,neutral,positive, positive
This article divides the development process of my country\'s science and technology finance into the following four stages: the embryonic period (1980-1984) - pilot policy science and technology loan model; the initial stage (1985-2005) - continuous innovation of science and technology financial tools; the rapid development period ( 2006-2015) - Constructing a scientific and technological financial system; Integrated development period (2016 to present) - Continuously improving the scientific and technological financial system.,neutral,neutral,Neutral,neutral,positive, neutral
"In terms of the number of IPO companies, the proportion of specialized and new companies among my country\'s listed companies has further increased; in terms of venture capital, as of 2023, my country has established a total of 2,086 government guidance funds with a target scale of approximately 12.19 trillion yuan.",positive,positive,Positive,positive,positive, neutral
"Japan’s technology finance model is similar to that of Germany, and banks play an important role in the development of technology finance. Japan is the first country in the world to establish a credit guarantee system for small and medium-sized enterprises. It has a unique credit supplement system that effectively alleviates the financing difficulties of technology-based small and medium-sized enterprises.",positive,neutral,Positive,neutral,positive, positive
"The year-on-year growth rate of automobile retail sales remained high, while the performance of the movie viewing market was flat. From January 22 to January 28, the retail sales of passenger cars under the Passenger Car Association increased by 136% year-on-year. In terms of movie viewing, the movie market on weekdays is running smoothly this week, but new films are absent. The market is still mainly supported by old films in the New Year\'s Eve period. Although the overall performance is not inferior to that in previous years on the eve of the Spring Festival, the overall popularity of the Spring Festival movie market this week is still limited.",neutral,neutral,Neutral,negative,positive,136.
"Production: Production overall tended to slow down a year ago. Most of the high-frequency industrial indicators are """"cooling"""" this week, such as railway freight volume, which has declined significantly, blast furnace operating rate, which has a month-on-month growth rate of -0.3pct, and coal throughput, which has dropped 9.3% month-on-month. However, some indicators are """"heating up"""". For example, the load rate of power plants in the seven coastal provinces still insists on being on the """"last shift"""" before the Spring Festival, and its overall trend is still trending upward.",positive,neutral,Neutral,negative,positive, negative
"Inflation: Food prices surge ahead of holiday season. The Agricultural Products Wholesale Price 200 Index continued to rise this week, rising 2.6% week-on-week. Among them, the average weekly price of pork was 21.27 yuan/kg, up 6.1% week-on-week, and the increase was significantly wider than last week. Pre-holiday stocking coupled with tight transportation resources and rising freight costs. At the same time, as the new year is approaching, pork consumption has begun to enter the peak season, and terminal market purchases and sales Motivation increased significantly.",neutral,negative,Negative,positive,positive, positive
"In terms of liquidity, funds were stable and loose before the holiday. Bill interest rates fell sharply this week. The interest rates of 6M state-owned shares and 3M state-owned shares dropped sharply after a month. They dropped to 1.61% and 1.78% respectively on Friday. This week, the central bank\'s reverse repos achieved a net withdrawal of 230 billion yuan. The bond market leverage ratio increased this week, recording 109.4% on Friday, which was higher than the historical level for the same period before the Spring Festival.",neutral,neutral,Neutral,negative,positive,1.61
"Core view: Over the past month, the changes in Japan's economic fundamentals have been mixed. On the one hand, we see that Japan's economic growth in the second quarter was better than expected, and private consumption also showed signs of a slight improvement. On the other hand, corporate-related economic indicators and foreign trade performed poorly, and the July inflation data has not yet reflected the positive impact of the sharp increase in wages in spring. Despite this, the Bank of Japan decided to raise interest rates in July beyond expectations. Based on its hawkish stance and the basic judgment of a soft landing for the US economy, we believe that Japan will still have one more interest rate hike this year, which may be realized as early as the October meeting. If the US economy enters a recession, the Bank of Japan may tend to stay put this year. In addition, we believe that we need to be wary of the risk that the Bank of Japan is too hawkish and causes the Japanese economy to stagnate. Under the basic assumption that the Bank of Japan will raise interest rates once more this year, we expect the yen to still have room for appreciation, with the end-of-year point raised to between 140 and 145.",positive,neutral,Neutral,negative,positive, positive
"In terms of inflation, the July data has not yet reflected the positive impact of the sharp increase in wages in the spring. Although the core CPI excluding fresh food rose by 0.1 percentage points to 2.7% in July, this was mainly due to the rise in energy prices after the government abolished electricity and gas fees. The dual core CPI inflation rate excluding energy prices fell by another 0.3 percentage points to 1.9%. In addition to the continued decline in food CPI, the service industry CPI also fell by another 0.3 percentage points to 1.4%. Both declines were affected by last year's high base.",negative,neutral,Neutral,negative,positive,1.9
